"","business_id","name","city","state","stars","review_count","categories","business_group"
"3388","b_3497","Powers-Rose","Wilsonside","PA",4.5,413,"save","A"
"10824","b_11146","Schneider-Floyd","Pamelashire","NH",2.9,33,"she","B"
"16070","b_16553","Shelton-Hodge","Lisaborough","ME",4.9,213,"prepare","A"
"10889","b_11212","Alexander-Scott","Port Rebecca","MS",3.6,35,"build",""
"1088","b_1125","Wise, Peterson and Bowen","Kellymouth","MS",3.2,499,"into, democratic",""
"17868","b_18410","Good-Olson","","ND",3,14,"various, war","B"
"2576","b_2655","Clark-Thomas","West Andreastad","OK",2.7,403,"economic, we","A"
"3151","b_3249","Salazar, Drake and Phillips","Josephton","RI",3.5,51,"each","B"
"2930","b_3023","Morales Group","New Cynthia","SC",2.3,453,"glass, smile, yeah","A"
"11659","b_12005","","Lake Lindsaychester","DE",4.7,149,"best","B"
"1666","b_1723","Frank, Hernandez and Henderson","North Debbie","ME",1.4,215,"check","B"
"17297","b_17823","Boyd-Love","North Melissamouth","TN",2.7,451,"door","A"
"18698","b_19266","Dawson, Johnson and Thomas","Kimberlyside","CO",1.1,335,"land, important","A"
"16236","b_16723","Castro and Sons","Jasonmouth","MI",4.1,40,"stage, save","A"
"5372","b_5536","Hamilton, Baker and Hayes","Michelleborough","NV",1.6,128,"general, natural","A"
"18148","b_18701","","New Katrina","OR",4.4,331,"six, that","A"
"6494","b_6681","Perkins, Strickland and Rodriguez","","TN",1.9,422,"detail, difference, partner","A"
"7779","b_8012","Holmes Inc","Rhondaton","SD",3.5,179,"store, side, keep","A"
"16710","b_17209","Hess LLC","East Dennisport","PA",4.3,254,"else, production, doctor","A"
"6401","b_6583","Marsh-Vasquez","Ballland","MT",1.3,82,"good, including, spend","A"
"1949","b_2013","Pena-Burgess","East Lori","FL",1.6,401,"yeah","B"
"13125","b_13520","Simmons Ltd","Port Anita","NJ",2.6,294,"she, least, position","B"
"16872","b_17377","Hughes, Pena and Kidd","North Brendaberg","NV",2.9,125,"mission","B"
"15486","b_15955","Scott, Carlson and Montgomery","Martinezside","AZ",4.2,307,"national, he",""
"17873","b_18415","Rubio, Powell and Palmer","Amandaborough","PA",4.6,46,"have, most","B"
"8011","b_8249","House Inc","North Deniseport","WV",4.2,229,"really, best, every","A"
"16634","b_17132","Wiley, Simpson and Vaughan","Port Jeffrey","VA",3.5,13,"newspaper, friend","A"
"3903","b_4022","Lindsey, Moore and Moreno","Michaelbury","GA",3.7,33,"why","A"
"2240","b_2310","Brown, Buckley and Frost","New Julieton","CT",3,132,"expert","B"
"7494","b_7715","Owen, Alexander and Daniels","New Evelyn","CO",4.8,387,"herself, education, her","B"
"12546","b_12919","Jimenez-Anderson","Loweryhaven","IL",3,343,"sing, choose","A"
"1178","b_1219","","Jeremyville","NH",2.1,456,"up, history, human","A"
"9163","b_9440","Hayes, Johnson and Snyder","Huntstad","IL",1.7,431,"charge","A"
"16373","b_16861","Jackson PLC","Stewartbury","PA",2.2,446,"similar, break","B"
"12975","b_13363","Myers Ltd","New Richard","TN",2.5,499,"also","A"
"18323","b_18878","Moore, Bradley and Hall","Angelachester","MN",2.2,458,"skin","B"
"1133","b_1173","Morgan-Moyer","Lake Robertstad","NV",2,195,"job","B"
"18765","b_19337","Moreno and Sons","Lake Dakota","VA",3.6,470,"budget","A"
"1432","b_1478","Hartman, Little and Roberts","Christineshire","NH",4.2,99,"by, save, specific","A"
"16659","b_17157","Allen PLC","Anitachester","WA",3.5,47,"level, which","A"
"6712","b_6907","Hood-Myers","Christinatown","WY",4.2,472,"","A"
"15302","b_15765","Ryan, Mueller and Henderson","Lake Toddhaven","AL",1.7,271,"result, could","B"
"8339","b_8586","Duran-Benton","South Catherinemouth","SD",4.5,483,"art, leg","A"
"9721","b_10013","Shaffer-Anderson","Harrisville","PA",2.3,437,"drive","B"
"12322","b_12686","Anderson PLC","Pattymouth","VA",3.6,68,"leg","B"
"12502","b_12873","Day Group","Christopherberg","HI",1.3,329,"mother, ready","B"
"9255","b_9534","Garcia Group","","MN",2.7,446,"feel, stage, difficult","B"
"16521","b_17014","Grant-Wilson","North Toddville","TX",2.2,68,"figure, heavy","A"
"12068","b_12429","Castro-Liu","Briannashire","CA",3.6,431,"pattern","B"
"619","b_643","Williamson-Reese","South Christopher","ID",2.3,140,"if, do, few","B"
"11638","b_11983","Beck Ltd","Davistown","VT",1.4,226,"certainly","B"
"1226","b_1269","Arellano Inc","Lydiaburgh","AK",2.2,160,"affect, than","B"
"10680","b_10999","Hunt-Vargas","West Christopher","MA",3.3,287,"fly, tax, life","B"
"3289","b_3391","Reyes Inc","New Jennifer","NH",4.6,198,"food, door","B"
"10917","b_11241","King, Mcgee and Barnes","Stevenfurt","KS",4.5,142,"allow, before","A"
"7358","b_7576","Smith, Peterson and Bradley","Terryshire","MO",3.3,328,"seem","B"
"3719","b_3836","","Greeneborough","DC",4.7,477,"before","B"
"15879","b_16359","Huynh-Booker","New Danielleborough","MI",4.4,178,"could, energy","B"
"18271","b_18825","Mack, Moreno and Castillo","Port Shane","NY",3.5,279,"partner","B"
"14307","b_14747","Ross-Kaufman","Campostown","SC",3.2,152,"better, staff, reveal","A"
"1368","b_1413","Fischer-Johnson","Erinshire","MS",1.2,343,"himself","A"
"5853","b_6028","Johnson-White","New Jamie","RI",3.9,479,"rather, meet, financial","A"
"9738","b_10030","Santiago LLC","South Jasmine","WA",1,406,"late, his","A"
"12277","b_12640","Carroll, Jones and Acosta","Christinaburgh","SD",2.6,216,"great","A"
"1067","b_1104","Burns Ltd","","MA",5,443,"official, will, industry","B"
"18169","b_18722","Santiago, Wright and Moore","Timothyside","AL",4.9,219,"experience","A"
"10064","b_10368","Wells-Patterson","Angelahaven","VT",3.4,357,"ground","B"
"17993","b_18541","Brown Inc","","WV",4.9,402,"their, past, project","B"
"18898","b_19478","Cook-Brown","East Shannonport","MT",2.2,449,"computer, pay","B"
"12506","b_12877","Deleon Group","New Dawn","KY",3.7,474,"old, course",""
"5514","b_5683","Rivera and Sons","Perrystad","IL",1.8,231,"rule","A"
"3553","b_3665","Kramer-Taylor","Lake Timothy","OH",2.8,46,"economic, month","B"
"13227","b_13625","Morgan, Stanley and Nguyen","Matthewfurt","NH",2.6,457,"here, religious","A"
"10345","b_10657","Watkins-Fitzpatrick","Tiffanymouth","DE",3.2,345,"yourself","B"
"5662","b_5833","Poole, Hunt and Preston","Port Katherineview","TX",2.7,262,"successful, power, per",""
"2949","b_3043","Martin, Hale and Drake","New Sheena","",2.6,279,"likely, ever","A"
"2375","b_2448","Wade Ltd","Emilyberg","NH",1.2,343,"better","A"
"3063","b_3161","Salas, Reed and Jensen","Lawsonfurt","OR",1.1,113,"role, car, realize","A"
"16504","b_16997","Rogers, Boyd and Sullivan","Baileyshire","OR",3.6,318,"apply, company, program","A"
"9978","b_10279","Pham-Campos","Matthewport","MD",2.7,300,"from, career","A"
"14803","b_15252","Benton Group","Leonardchester","KS",1.8,149,"almost","B"
"8084","b_8325","Harris, Perry and Wagner","East Douglaschester","VT",4.3,57,"stuff, or","A"
"14264","b_14703","Gibbs, Martin and Knight","Smithview","WA",3.3,454,"single, start","A"
"15552","b_16024","Baker-Chapman","Port Dianastad","MA",4.2,436,"beat, dark, lawyer","A"
"8710","b_8972","Cox, Cain and Williams","Walkerchester","CT",2.1,203,"voice, develop, material","A"
"986","b_1019","Gonzales and Sons","New Randall","NC",1.1,469,"whether","A"
"15643","b_16117","Bonilla LLC","","PA",2.4,112,"particular","A"
"9055","b_9328","Thompson, Horne and Gillespie","Port Gabriel","KY",2.4,404,"home, thought, natural","A"
"17416","b_17947","Mercer LLC","East Benjamin","AZ",3.3,146,"red","A"
"13652","b_14071","Phillips-Holland","Stricklandland","DC",1.7,386,"senior, development","A"
"16088","b_16571","Fuller, Taylor and Ferguson","Taylorfort","TX",1.7,28,"arm","A"
"10676","b_10995","Hanson-Conrad","East Nathaniel","NM",2.4,455,"speech","B"
"18448","b_19006","Green Inc","Lake Amandashire","ND",3.9,154,"leave, know","A"
"8744","b_9006","Kim, Flores and Garza","West Jonathan","RI",2.2,474,"expect, smile, firm","A"
"11564","b_11908","Garcia, Munoz and Roberts","Johnburgh","OH",2.7,236,"including","B"
"10804","b_11126","Peck Ltd","Larrystad","SC",4.3,355,"thank",""
"14029","b_14460","Sutton Inc","Ashleyshire","IN",4.9,288,"point","A"
"4750","b_4896","Nguyen-Johnson","Brockville","NY",1.6,473,"lose, economy, stay","B"
"9714","b_10006","Berry-Stewart","Port Joseph","WV",1.1,109,"address","A"
"11873","b_12225","Marshall and Sons","Samanthamouth","WA",2.9,21,"husband, campaign, it","B"
"4289","b_4418","Hall, Moody and Mann","Lake Mario","MD",2.3,286,"raise","B"
"6303","b_6483","Scott Ltd","West Johnstad","FL",1,26,"full, affect, dark","B"
"7986","b_8223","Stevens and Sons","Tammytown","MN",4.6,47,"pick","B"
"17803","b_18342","Malone and Sons","Port Janice","WV",4.2,38,"administration","A"
"822","b_850","Castaneda PLC","Anthonymouth","WI",1.3,417,"instead","B"
"18641","b_19208","Ward, Carr and Salazar","Maloneview","AR",2.7,199,"away","A"
"11519","b_11860","Coleman, Graves and Smith","Breannamouth","PA",4.6,380,"situation, somebody","B"
"3213","b_3314","Scott, Ibarra and Aguilar","East Crystalfurt","NH",1.9,358,"whose, exist","B"
"9024","b_9296","","Angelamouth","AL",4.5,239,"something","B"
"6365","b_6546","Alvarez-Rose","Mariatown","NJ",3.2,138,"professional, open, alone","A"
"10021","b_10325","Russell-Henderson","New Kayla","ID",2,393,"leader","A"
"9737","b_10029","Richards-Bowers","Perrymouth","SD",3.7,251,"nature, security","B"
"11967","b_12323","Richardson, Brandt and Davis","Christensenfort","NV",3.3,404,"full, movie","A"
"1474","b_1523","Suarez-Taylor","Port Catherine","NH",1.4,257,"employee","A"
"3533","b_3645","James, Daniel and Wright","West Nancybury","NE",1.6,410,"man, box","A"
"14207","b_14645","Bauer-Barrett","Martineztown","DE",2.3,76,"while, of","B"
"15710","b_16185","Olson-Livingston","Fergusonberg","NJ",3.7,497,"gun, sport, enter","A"
"6739","b_6934","Fisher, Greene and Sullivan","Donnaside","IN",4.8,146,"act, use","A"
"17702","b_18238","Edwards Group","New Nancy","IL",1.6,318,"house, sister","B"
"4442","b_4575","Hart-Carter","North Danny","TX",2.3,407,"sit, conference","A"
"10421","b_10737","Logan Inc","Silvaside","MO",2.9,213,"degree","B"
"3036","b_3133","Grimes-Smith","Dianemouth","",3.2,442,"our, management, mother","B"
"19183","b_19772","Simpson-Frank","Blackview","IL",1.1,418,"movement","B"
"15700","b_16175","Jones-Martin","North Shannonbury","WY",2.1,73,"forward","A"
"13532","b_13944","Combs, Gray and Riley","Boydborough","NH",2,468,"either, beat, toward","A"
"18354","b_18910","Shields-Harrell","Shawnview","PA",2.9,195,"very","A"
"15340","b_15804","Griffith PLC","Port Peter","WA",2.7,323,"","B"
"6853","b_7053","Holt-Underwood","Hoodmouth","SD",2.9,297,"air, war, effect","A"
"15727","b_16202","Barry-Smith","Veronicafurt","TX",1.9,341,"brother","A"
"8118","b_8360","Carr-Clements","Gillstad","NM",4.3,137,"not","A"
"12241","b_12604","Carter Inc","South Rachel","",4.3,44,"ability","A"
"14219","b_14657","Smith, Ramirez and Lopez","East Joe","",3.7,387,"","B"
"355","b_366","Lee, Phillips and Rogers","Barnesville","NM",4.8,464,"job","B"
"14878","b_15331","Brown-Woods","New Vanessa","WV",4.7,54,"police, debate, enjoy","A"
"3560","b_3673","Schmidt, Jones and Wright","Bradshawburgh","IN",1.4,288,"become, key","B"
"379","b_391","Williams, Mitchell and Bell","Lake Samantha","NV",2.7,208,"person, test, develop","B"
"9939","b_10238","Daniels-Hardy","New Alberttown","KS",4.3,484,"serve, positive","B"
"4968","b_5120","Chen, Wright and Keller","Port Tamaraberg","SC",2.3,412,"Republican, each, white","B"
"17250","b_17770","Moore-Rice","West Paulfort","AZ",3.8,223,"product","A"
"4585","b_4724","Heath-Martin","North Mark","MO",1.9,392,"southern, exist","B"
"14145","b_14581","Johnson Group","Leeland","MA",1.2,121,"interest","A"
"6729","b_6924","Maxwell Group","Boydtown","MA",3.5,163,"where, finish","A"
"17856","b_18397","Martinez, Hall and Carrillo","New Haroldborough","OR",2.4,237,"benefit","A"
"6838","b_7038","","Webbview","VT",3.2,93,"culture","A"
"2672","b_2754","","Lake Wyattmouth","GA",4.7,279,"full",""
"18043","b_18591","Lindsey, Robinson and Palmer","Russelltown","AZ",1.9,246,"training","A"
"16976","b_17484","Torres-Ramos","Jonesstad","GA",4.5,158,"candidate","A"
"11097","b_11428","Medina, Johnson and Rivera","Hughestown","MI",1,61,"fund, us","B"
"10351","b_10663","Bruce Group","Jamesbury","DE",2.8,159,"country, size, need","B"
"8346","b_8593","Cole-Jacobs","Garzaton","NC",4.6,210,"year, only","B"
"508","b_526","Montgomery-Ward","Shermanfurt","GA",2.7,83,"local","B"
"10820","b_11142","Johnson Group","Lake Josephmouth","IL",1.9,125,"house, heart","B"
"8068","b_8309","White-Smith","East Zachary","AZ",3,57,"kind, share","B"
"16412","b_16901","Schultz-Smith","Port Michelleport","MD",1.6,112,"yourself, behind","B"
"8226","b_8472","Dominguez, Mason and Ramirez","Ryanfort","VA",2.8,442,"year, turn","B"
"15225","b_15685","Hebert Inc","Davidport","SC",4.2,473,"wall, skin, later","B"
"418","b_431","Hill Inc","North Elizabethville","RI",4,369,"tax","B"
"17664","b_18199","Ingram, Johnson and Todd","Heatherside","ND",2.8,16,"goal, free","A"
"11410","b_11750","Romero, Anderson and Glenn","North Brian","DC",3.1,123,"us, reflect, according","B"
"13814","b_14241","Lewis-Bailey","Lewisberg","MS",4.6,368,"answer, maybe, forward","B"
"8543","b_8799","Ramirez-Coleman","Lisaborough","MI",2.9,200,"decide","A"
"18264","b_18818","Garcia-Williams","Port Kennethburgh","HI",1.9,186,"present, week","A"
"14036","b_14468","Bruce Ltd","East Glenn","VT",3.3,307,"play, space, free","A"
"11158","b_11492","Myers-Shah","Josephville","NJ",2.7,107,"matter, form, share","A"
"1345","b_1390","Diaz LLC","West Elizabeth","GA",1.9,294,"another, other, father","A"
"1280","b_1325","Smith PLC","Scottton","NE",2.3,308,"off, rock","B"
"4034","b_4156","Williams PLC","Pattersonville","VT",3.2,137,"follow","B"
"1427","b_1473","Galloway, Gilmore and Hicks","Kylemouth","SC",2.6,256,"bar, bring, tax","A"
"19007","b_19589","Berg Group","Johnburgh","AK",4,352,"sit, decide, build","A"
"13649","b_14068","Fuller-Berg","East Heather","LA",4.2,79,"nature, share, opportunity","B"
"2076","b_2144","Snow Group","Port Janetland","NC",2.9,16,"mean, voice","B"
"9562","b_9850","Hutchinson-Scott","North Zachary","MO",3.6,352,"dream, paper","A"
"13050","b_13442","Love Inc","New Glenfurt","AR",4.7,498,"stand, during","B"
"5788","b_5961","Turner Group","East Catherine","KY",4.8,415,"interest, bill, ready","A"
"7902","b_8138","Thompson and Sons","Port Michael","MI",3.2,44,"simply, wind, capital","B"
"11567","b_11911","Warren-Webb","East Bradley","NH",3.4,291,"lead, ago, building","A"
"7476","b_7697","Barnes and Sons","Caldwellfurt","WV",3.8,165,"share, artist","B"
"8498","b_8750","Mills, Cohen and Taylor","West Craigtown","WY",3.4,158,"whom, police, range","A"
"1121","b_1161","Scott-Ayala","North Julian","IN",1.5,91,"chair","A"
"17818","b_18358","Mooney Inc","West Johnmouth","PA",1.6,349,"process, worker, most","A"
"12427","b_12793","Wilson, Hansen and Glover","Hooverview","IA",4.8,32,"end, hold","A"
"8171","b_8414","Morales PLC","Lake Michael","CA",1.5,440,"page","B"
"15382","b_15846","Haney Group","Catherinefurt","",3.9,122,"space","B"
"12366","b_12730","Elliott, Miller and Wright","","FL",1.9,280,"carry, century, amount","B"
"6675","b_6867","Estrada and Sons","Coxland","MT",1.7,309,"reality, college, lay","A"
"12969","b_13357","Brown, Thomas and Arnold","Brittanyland","LA",5,62,"serve","B"
"14476","b_14918","Martinez, Wall and Simpson","East Phillip","AK",3.9,489,"eye, occur","B"
"14206","b_14644","Wood Group","Littleside","NH",4.1,308,"miss","A"
"15981","b_16461","Gregory, Wilson and Hunt","Port Adrian","VA",4.4,477,"scene","B"
"9291","b_9570","Pratt, Martinez and Vega","Lake Bethanyfort","NH",2.6,229,"memory, point","A"
"7254","b_7468","Bauer, Moss and Clements","Christinemouth","CA",3.5,197,"tough, phone","A"
"16805","b_17309","Wright, Herman and Pena","Jessicafort","AK",2.1,126,"community, push","A"
"5789","b_5962","Mcdaniel, Duran and Gill","Richardborough","AL",2.6,141,"nothing","A"
"2966","b_3062","Smith PLC","Christopherberg","MI",3.4,139,"get, agency, science","A"
"14303","b_14743","Perry, Mack and Branch","Port Lindsaychester","NC",2.7,132,"street","B"
"17533","b_18064","Allen-Li","East Mark","RI",3.3,203,"senior, skill, Mrs","A"
"16812","b_17316","Morton, Garcia and Harris","Port Tara","MT",3,491,"lay, happy","A"
"283","b_293","Thomas Inc","Aprilfort","PA",2.4,439,"who, various","A"
"9367","b_9648","Vasquez-Howell","Ryantown","TN",3.4,17,"too","A"
"3766","b_3883","Ali, Aguilar and Kemp","North Williestad","CA",1.9,70,"sometimes","A"
"17850","b_18391","Gibson PLC","Hobbsmouth","OR",4.8,11,"cover","B"
"16392","b_16881","Sims-Turner","Williamtown","DE",4.2,404,"fill",""
"17457","b_17988","Rodriguez-Edwards","Heatherport","NH",3.8,435,"purpose","B"
"1029","b_1064","Boyer Group","","WI",2.7,104,"media","A"
"8307","b_8554","Montgomery-Bailey","","SD",2.6,319,"official","A"
"7205","b_7418","Herrera PLC","West Jesus","NM",1.3,195,"purpose","B"
"7699","b_7929","King-Moody","Lake Timothyshire","ND",1.7,169,"radio","A"
"10718","b_11038","Graham Inc","West Emmamouth","LA",4.7,491,"stop","B"
"7831","b_8066","Burns-Palmer","East Aprilfort","NJ",2.9,223,"likely, fear","B"
"9148","b_9425","Richardson, Davis and Garcia","Brendaland","LA",4.1,427,"wear, world","A"
"12643","b_13018","Harris Group","Simmonsborough","KS",2.7,223,"live","A"
"17121","b_17637","Kelly and Sons","South Leslieville","WA",1.7,108,"while","B"
"18887","b_19466","Douglas-Johnson","West Brittany","OK",4.5,471,"","B"
"4154","b_4280","Mitchell Ltd","Mendezmouth","KY",1.7,347,"claim","B"
"4390","b_4521","Mann Ltd","South Evan","NV",3.3,84,"push, add","A"
"17899","b_18443","Martinez-Diaz","North Scottbury","LA",2,440,"beat, ahead, under","A"
"10829","b_11151","Henderson, Parks and Richardson","Baldwinland","NV",3.4,65,"chair","B"
"2782","b_2868","Carr, Brandt and Wright","Copelandside","IL",2.1,131,"stage, recently","B"
"14128","b_14563","Russell, Sanchez and Nguyen","Port Danielle","IL",4.3,348,"painting, race","B"
"14522","b_14964","Caldwell and Sons","Gardnerview","ID",2.5,345,"which","A"
"18645","b_19213","Anderson-Nelson","South Timothymouth","NH",2,217,"clear, professor","B"
"10871","b_11194","Strong-Lewis","New Lisa","MS",1.5,290,"organization, perform, room",""
"13806","b_14233","Wells Group","Moonchester","NE",4.6,23,"area, be","B"
"4567","b_4705","Morales-Lucas","Jessicahaven","RI",2.7,213,"stop, where","A"
"9809","b_10103","Ward, Alvarez and Roberson","Carrilloview","ND",2.4,126,"special","A"
"3632","b_3748","Jones, Russo and Jefferson","East Timothy","HI",2.6,445,"structure, gun, turn","B"
"13530","b_13942","Rose Group","Lake Pamelaberg","DE",1.4,153,"performance, receive","A"
"4281","b_4410","Mckinney, Gibson and Larsen","East Heather","MT",1.3,122,"economy","A"
"16460","b_16949","Woodard Inc","Maynardton","VA",2.4,48,"behavior, with","B"
"18500","b_19060","Smith-Bell","New Laura","VA",3.5,415,"every, or","A"
"14184","b_14621","Wilson, Berry and Foley","Coxport","KY",2.4,212,"","B"
"5614","b_5785","Castillo-Blackburn","East Christopher","OR",4.6,303,"edge","A"
"10375","b_10688","Hancock-Robinson","Banksland","FL",4.2,225,"collection, realize","B"
"11592","b_11936","Barker, Peterson and Phillips","New Tom","MI",4.2,41,"senior, rich","A"
"12244","b_12607","Merritt LLC","Crystalstad","VA",4.6,384,"forget, public, computer","A"
"12213","b_12576","Jones-Ramos","","AZ",1.1,307,"spring","A"
"17704","b_18240","Adkins, Newman and Martin","Lucasport","SD",3.4,384,"three","B"
"12013","b_12374","Rhodes-Williams","Amberport","KS",4.6,123,"town, decade","A"
"170","b_176","Wilson, Pierce and Herrera","West Jennifertown","NC",3.8,307,"science, fast, speech","B"
"11148","b_11482","Cox Inc","Thomasberg","OK",3.2,377,"financial, state","B"
"16736","b_17237","Bryant-King","West Katieville","MS",2.6,58,"teach","B"
"368","b_380","Stark, Davis and Ibarra","Williamshaven","FL",1.5,51,"","A"
"10452","b_10768","Roberts-Brown","","NY",2.9,433,"rise","B"
"270","b_279","Rose Inc","New Jacob","LA",4.2,467,"","B"
"18219","b_18772","Navarro-Kemp","Williamsside","PA",4,177,"marriage, statement, want","A"
"2486","b_2560","","Lake Margaret","OR",4.2,77,"strong, attention, door","B"
"8176","b_8419","Reed-Cherry","East Ronaldfurt","RI",1.6,84,"per, to","A"
"11741","b_12089","Bryan, Jimenez and Riddle","North Heidi","OK",3.2,178,"board","B"
"6059","b_6237","Hammond-Smith","Moorehaven","TX",3.6,115,"phone, little, daughter","B"
"5779","b_5951","Owen, Williams and Barber","Stevensonborough","TX",1.6,166,"not","B"
"5409","b_5574","Townsend, Phillips and Simon","East Jessica","AK",3.6,150,"military, wife","B"
"16765","b_17267","Smith-Raymond","Molinaland","SD",3.2,89,"character","A"
"11530","b_11871","Barker Inc","East Calvin","SC",2.6,492,"break","A"
"10766","b_11088","Delgado-Jackson","Lake Coreymouth","DC",2.8,14,"late, manager",""
"6885","b_7086","Harris LLC","South Jamesshire","AR",3.6,72,"bag, interview, exist","B"
"12105","b_12468","Price, Gonzalez and White","Jesseshire","MA",3.2,335,"heavy","A"
"16560","b_17054","Landry Group","South John","GA",3.1,134,"fight, let, at","A"
"6453","b_6638","Vazquez PLC","Edwardmouth","WI",1.3,469,"family, dream, right","A"
"8227","b_8473","Gutierrez-Ward","Lewisberg","MN",1.7,16,"strong","A"
"2254","b_2324","Knapp, Reyes and Thompson","East Shari","OR",4.3,50,"leg","B"
"13970","b_14401","Daugherty and Sons","Jenniferberg","DE",2.7,114,"material","A"
"6114","b_6292","Hernandez-Young","New Johnnystad","TX",4.8,370,"thus","A"
"14874","b_15327","Kline-Wilcox","South Samanthashire","NY",1.7,376,"newspaper, else","A"
"2477","b_2551","Sanchez, Hickman and Ryan","Braybury","MD",1.4,495,"rule","A"
"13362","b_13765","Day, Higgins and Lawson","Port Georgeborough","AZ",3,177,"war, move, sort","A"
"3896","b_4015","Watkins, Russell and Long","Lake Johnmouth","LA",2,52,"hope, author, movie","B"
"1297","b_1342","Jones Group","Gregoryshire","SD",4.5,385,"good, rather","B"
"653","b_678","Hill Ltd","","IN",4.9,243,"toward, piece, born","A"
"19036","b_19618","Martinez, Jones and Palmer","Port Derrick","OK",4.2,168,"image","A"
"15178","b_15636","Walters, Ramirez and Stuart","Karenville","UT",3.3,357,"nation, wish","A"
"13552","b_13965","Shepard, Sanford and Tate","Russoville","LA",3.9,312,"building","A"
"6203","b_6381","Harrison, Gamble and Smith","West Jamesville","VA",3.1,365,"project","A"
"17035","b_17548","Perez-Gray","","DE",4.4,355,"they","A"
"3228","b_3329","Rodriguez, Krause and Duncan","South Danielshire","OK",3.7,280,"process, then, consider","A"
"19341","b_19933","Wilson Inc","South Veronicastad","SC",4,77,"score, president","A"
"7756","b_7989","Hart, Hall and Ortega","North Kyle","MD",4.4,313,"red, officer","A"
"14350","b_14790","","Lake Amber","RI",2.8,159,"","A"
"13283","b_13683","","Deniseville","WV",3,182,"level, letter","A"
"647","b_671","Rogers, Page and Miller","Dianashire","SC",4.6,253,"watch, rest","B"
"14278","b_14718","Reid LLC","North Tiffany","WI",1.8,424,"over, experience, knowledge",""
"2742","b_2827","Owen, Hernandez and Moore","South Michael","GA",1.4,376,"walk, plan","A"
"55","b_57","Lopez-Williams","Phamfort","MI",1.8,260,"","B"
"14202","b_14640","Robles-Cox","Cameronville","NH",3.1,162,"seek, management","B"
"3287","b_3389","Fowler and Sons","West Richard","ME",3.7,158,"treat","B"
"8323","b_8570","Schmidt, Carr and Crawford","Hoffmanfurt","CO",2.6,88,"government","A"
"12978","b_13366","Hill, Reid and Morales","Douglasborough","OK",1.7,468,"condition, message, believe","A"
"18527","b_19087","Jenkins-Rich","Rodriguezberg","KY",4.6,23,"sense, sure","B"
"17577","b_18110","Patel-Rangel","South Marilyn","CT",3,251,"support","B"
"11075","b_11406","Hill Ltd","Abigailchester","AK",1.8,275,"within","B"
"14209","b_14647","Cox-Wilkerson","Ortizshire","NJ",3.5,144,"","B"
"15929","b_16409","Lee and Sons","Nicolehaven","MA",4.6,328,"sell","A"
"5016","b_5169","Webb-Jones","North Davidborough","IL",4.1,425,"expert, course",""
"16186","b_16671","","East Rachel","NV",2.2,392,"decide, really, turn","B"
"11729","b_12077","White LLC","South Brandonbury","KY",3.2,342,"total, company, deep","A"
"14945","b_15398","Johnson, Walls and Bean","Stevenshaven","TX",3.1,326,"figure, far","B"
"6806","b_7004","Williams LLC","Johnsonshire","UT",2.4,226,"have","B"
"3021","b_3118","Santos PLC","Branchmouth","AK",2,314,"image, race","A"
"8106","b_8348","Robinson Group","West Lynn","HI",2.9,350,"well","A"
"17946","b_18491","Lopez, Yoder and Fischer","West Louisburgh","AR",1.6,345,"myself, fund, under","A"
"485","b_501","Myers-Hammond","Waynehaven","DC",3.1,99,"then, simply","B"
"16623","b_17120","Miller-Bernard","Port Misty","NY",1.9,182,"Republican, performance","A"
"3618","b_3734","Ross LLC","Shafferberg","NJ",2,409,"wonder, education, effort","B"
"9373","b_9654","Gutierrez PLC","","AR",3.1,82,"treat, cover, I","B"
"14004","b_14435","Brown LLC","Medinafurt","KY",2.4,239,"relate, nature","B"
"7611","b_7840","Palmer LLC","Sheilabury","FL",3.3,161,"sister, push","A"
"18188","b_18741","Ellison Ltd","North Danielleville","OK",2.3,305,"century, them","A"
"15452","b_15920","Ortiz, Nelson and Ochoa","Danaborough","MO",4.6,483,"pass, money, center","B"
"9516","b_9804","Taylor-Meyers","South Edward","MO",3.2,357,"then, lay, history","B"
"17172","b_17689","Brady Inc","West Richard","MI",4.1,123,"win, spend","A"
"2670","b_2752","Davis Ltd","Brayborough","VT",2,74,"factor, cell, interview","B"
"3040","b_3137","","East Sandraport","HI",4,134,"perform","A"
"4085","b_4208","Hall, Price and Jackson","Stanleyhaven","GA",1.3,35,"standard","B"
"6163","b_6341","Scott-Ramirez","Markport","MN",3.6,369,"these, better","B"
"13415","b_13821","Hanson LLC","Sherylland","KS",2,151,"north, push, hit","A"
"12190","b_12553","Edwards-Ford","Loriville","SC",3.6,25,"new, PM, kid","A"
"12498","b_12869","Ryan and Sons","Port Erika","AK",3.7,214,"for, car, administration","B"
"11407","b_11747","Wade-Grant","Johnsonview","LA",1.2,40,"agency","B"
"8853","b_9119","Mitchell, Owen and Aguilar","Lake Cory","NH",4.4,353,"TV, purpose","B"
"7821","b_8056","Edwards-Cole","Clarkestad","IN",2.3,354,"sense, alone, however","B"
"12724","b_13100","Smith-Bryant","West Jeffreyview","AL",1.8,210,"hard, impact, prevent","B"
"11022","b_11352","Porter, Liu and Oliver","Arthurmouth","MD",2.1,85,"seven, my","A"
"2039","b_2105","Henson, Hernandez and Glass","Stewartburgh","IN",2.3,483,"American","B"
"16074","b_16557","Sellers-Fuller","Juliemouth","TN",3.1,12,"show","A"
"14025","b_14456","Cook and Sons","Diazside","VT",1.8,303,"respond, on, task","A"
